"Time (s)";"Pressure (hPa)"
1.758277690E-1;9.715930176E2
3.340347690E-1;9.715395508E2
4.922377690E-1;9.715104980E2
6.504417690E-1;9.714902344E2
8.086457690E-1;9.714960938E2
9.668487690E-1;9.715043945E2
1.125052769E0;9.715312500E2
1.283258769E0;9.715366211E2
1.441462769E0;9.715505371E2
1.599666769E0;9.715612793E2
1.757870769E0;9.715612793E2
1.916073769E0;9.715681152E2
2.074277769E0;9.715639648E2
2.232483769E0;9.715695801E2
2.390687769E0;9.715703125E2
2.548891769E0;9.715747070E2
2.707095769E0;9.715893555E2
2.865298769E0;9.715874023E2
3.023502769E0;9.715961914E2
3.181706769E0;9.716062012E2
3.339912769E0;9.716145020E2
3.498116769E0;9.715981445E2
3.656319769E0;9.715739746E2
3.814523769E0;9.715502930E2
3.972727769E0;9.715285645E2
4.130931769E0;9.715434570E2
4.289137769E0;9.715620117E2
4.447341769E0;9.715698242E2
4.605544769E0;9.715917969E2
4.763748769E0;9.715876465E2
4.921952769E0;9.716057129E2
5.080155769E0;9.716132812E2
5.238362769E0;9.716181641E2
5.396565769E0;9.716140137E2
5.554769769E0;9.716269531E2
5.712973769E0;9.716440430E2
5.871177769E0;9.716494141E2
6.029380769E0;9.716806641E2
6.187584769E0;9.716972656E2
6.345790769E0;9.717077637E2
6.503994769E0;9.717270508E2
6.662198769E0;9.717514648E2
6.820401769E0;9.717807617E2
6.978605769E0;9.717978516E2
7.136809769E0;9.718098145E2
7.295015769E0;9.718200684E2
7.453097769E0;9.718498535E2
7.611423769E0;9.718564453E2
7.769626769E0;9.718862305E2
7.927830769E0;9.719145508E2
8.086034769E0;9.719062500E2
8.244240769E0;9.719118652E2
8.402444769E0;9.719289551E2
8.560648769E0;9.719575195E2
8.718851769E0;9.719733887E2
8.877055769E0;9.720029297E2
9.035259769E0;9.720185547E2
9.193462769E0;9.720324707E2
9.351669769E0;9.720507812E2
9.509872769E0;9.720698242E2
9.668076769E0;9.720986328E2
9.826280769E0;9.721132812E2
9.984484769E0;9.721416016E2
1.014268777E1;9.721525879E2
1.030089477E1;9.721772461E2
1.045909777E1;9.722036133E2
1.061730177E1;9.722084961E2
1.077550577E1;9.722304688E2
1.093370877E1;9.722456055E2
1.109191277E1;9.722612305E2
1.125011877E1;9.722685547E2
1.140832277E1;9.722910156E2
1.156652677E1;9.723098145E2
1.172473077E1;9.723308105E2
1.188293377E1;9.723525391E2
1.204113777E1;9.723671875E2
1.219934177E1;9.723913574E2
1.235754777E1;9.724052734E2
1.251575177E1;9.724289551E2
1.267395477E1;9.724438477E2
1.283215877E1;9.724677734E2
1.299024077E1;9.724692383E2
1.314856677E1;9.724968262E2
1.330677277E1;9.725258789E2
1.346497677E1;9.725317383E2
1.362317977E1;9.725537109E2
1.378138377E1;9.725581055E2
1.393958777E1;9.725832520E2
1.409779177E1;9.725957031E2
1.425599777E1;9.726247559E2
1.441420177E1;9.726354980E2
1.457240477E1;9.726586914E2
1.473060877E1;9.726887207E2
1.488881277E1;9.726975098E2
1.504701577E1;9.727141113E2
1.520522277E1;9.727302246E2
1.536342577E1;9.727553711E2
1.552162977E1;9.727702637E2
1.567983377E1;9.727902832E2
1.583803777E1;9.728039551E2
1.599624077E1;9.728225098E2
1.615444477E1;9.728300781E2
1.631265077E1;9.728471680E2
1.647085477E1;9.728798828E2
1.662905877E1;9.728574219E2
1.678726177E1;9.728964844E2
1.694546577E1;9.729118652E2
1.710366977E1;9.729418945E2
1.726187577E1;9.729584961E2
1.742007977E1;9.729794922E2
1.757828377E1;9.730046387E2
1.773648677E1;9.730178223E2
1.789469077E1;9.730446777E2
1.805289477E1;9.730642090E2
1.821110077E1;9.730891113E2
1.836930477E1;9.730998535E2
1.852738577E1;9.731269531E2
1.868571177E1;9.731271973E2
1.884391577E1;9.731677246E2
1.900211977E1;9.732080078E2
1.916032277E1;9.732116699E2
1.931852977E1;9.732414551E2
1.947673277E1;9.732475586E2
1.963493677E1;9.732734375E2
1.979314077E1;9.733000488E2
1.995134477E1;9.733259277E2
2.010954777E1;9.733342285E2
2.026775477E1;9.733527832E2
2.042595777E1;9.733752441E2
2.058416177E1;9.733820801E2
2.074224377E1;9.734035645E2
2.090056877E1;9.734133301E2
2.105877277E1;9.734367676E2
2.121697877E1;9.734406738E2
2.137518277E1;9.734570312E2
2.153338677E1;9.734729004E2
2.169159077E1;9.734765625E2
2.184979377E1;9.734873047E2
2.200799777E1;9.734895020E2
2.216607977E1;9.735075684E2
2.232440777E1;9.735056152E2
2.248261177E1;9.734934082E2
2.264081477E1;9.735026855E2
2.279901877E1;9.735029297E2
2.295722277E1;9.734990234E2
2.311542677E1;9.734902344E2
2.327351077E1;9.734960938E2
2.343183677E1;9.734929199E2
2.359003977E1;9.734895020E2
2.374824377E1;9.734936523E2
2.390644777E1;9.734912109E2
2.406465077E1;9.734885254E2
2.422285777E1;9.734938965E2
2.438106077E1;9.735002441E2
2.453926477E1;9.734948730E2
2.469746877E1;9.734943848E2
2.485567277E1;9.734978027E2
2.501387577E1;9.734868164E2
2.517207977E1;9.734865723E2
2.533028577E1;9.734970703E2
2.548848977E1;9.734890137E2
2.564669377E1;9.734873047E2
2.580489777E1;9.734846191E2
2.596310077E1;9.734836426E2
2.612130477E1;9.734829102E2
2.627951077E1;9.734816895E2
2.643771477E1;9.734877930E2
2.659591877E1;9.734907227E2
2.675412177E1;9.734797363E2
2.691232577E1;9.734807129E2
2.707052977E1;9.734785156E2
2.722873577E1;9.734824219E2
2.738693977E1;9.734729004E2
2.754514377E1;9.734895020E2
2.770334677E1;9.734838867E2
2.786155077E1;9.734780273E2
2.801975477E1;9.734760742E2
2.817795777E1;9.734658203E2
2.833616477E1;9.734592285E2
2.849436777E1;9.734650879E2
2.865257177E1;9.734770508E2
2.881077577E1;9.734721680E2
2.896897977E1;9.734626465E2
2.912718277E1;9.734667969E2
2.928538977E1;9.734577637E2
2.944359277E1;9.734567871E2
2.960179677E1;9.734606934E2
2.976000077E1;9.734521484E2
2.991820377E1;9.734565430E2
3.007640777E1;9.734594727E2
3.023461377E1;9.734545898E2
3.039281777E1;9.734665527E2
3.055102177E1;9.734643555E2
3.070922577E1;9.734675293E2
3.086742877E1;9.734638672E2
3.102563277E1;9.734584961E2
3.118383677E1;9.734519043E2
3.134204277E1;9.734479980E2
3.150024677E1;9.734396973E2
3.165845077E1;9.734406738E2
3.181665377E1;9.734372559E2
3.197485777E1;9.734445801E2
3.213306177E1;9.734511719E2
3.229126777E1;9.734533691E2
3.244947177E1;9.734626465E2
3.260767477E1;9.734609375E2
3.276587877E1;9.734531250E2
3.292408277E1;9.734548340E2
3.308228677E1;9.734565430E2
3.324049277E1;9.734531250E2
3.339869677E1;9.734572754E2
3.355689977E1;9.734614258E2
3.371510377E1;9.734660645E2
3.387330777E1;9.734614258E2
3.403151077E1;9.734570312E2
3.418971477E1;9.734533691E2
3.434792077E1;9.734545898E2
3.450612477E1;9.734499512E2
3.466432877E1;9.734599609E2
3.482253277E1;9.734597168E2
3.498073577E1;9.734333496E2
3.513893977E1;9.734504395E2
3.529714577E1;9.734287109E2
3.545534977E1;9.734321289E2
3.561355377E1;9.734367676E2
3.577175677E1;9.734189453E2
3.592996077E1;9.734245605E2
3.608816477E1;9.734382324E2
3.624637077E1;9.734379883E2
3.640457477E1;9.734343262E2
3.656277877E1;9.734394531E2
3.672098177E1;9.734484863E2
3.687918577E1;9.734440918E2
3.703738977E1;9.734570312E2
3.719559377E1;9.734589844E2
3.735379977E1;9.734528809E2
3.751200377E1;9.734479980E2
3.767020677E1;9.734538574E2
3.782841077E1;9.734467773E2
3.798661477E1;9.734521484E2
3.814481777E1;9.734448242E2
3.830302477E1;9.734479980E2
3.846122777E1;9.734479980E2
3.861943177E1;9.734379883E2
3.877763577E1;9.734394531E2
3.893583977E1;9.734299316E2
3.909404277E1;9.734331055E2
3.925224977E1;9.734416504E2
3.941045277E1;9.734355469E2
3.956865677E1;9.734477539E2
3.972686077E1;9.734609375E2
3.988506377E1;9.734541016E2
4.004326777E1;9.734575195E2
4.020147177E1;9.734545898E2
4.035967777E1;9.734492188E2
4.051788177E1;9.734514160E2
4.067608577E1;9.734616699E2
4.083428877E1;9.734619141E2
4.099249277E1;9.734548340E2
4.115069677E1;9.734343262E2
4.130890277E1;9.734370117E2
4.146710677E1;9.734343262E2
4.162530977E1;9.734375000E2
4.178351377E1;9.734213867E2
4.194171777E1;9.734213867E2
4.209992177E1;9.734108887E2
4.225812777E1;9.734143066E2
4.241633177E1;9.733840332E2
4.257453477E1;9.733723145E2
4.273273877E1;9.733613281E2
4.289094277E1;9.733291016E2
4.304914677E1;9.733256836E2
4.320735277E1;9.733056641E2
4.336555677E1;9.732998047E2
4.352375977E1;9.732836914E2
4.368196377E1;9.732766113E2
4.384016777E1;9.732480469E2
4.399837077E1;9.732253418E2
4.415657477E1;9.732099609E2
4.431478077E1;9.731833496E2
4.447298477E1;9.731723633E2
4.463118877E1;9.731457520E2
4.478939277E1;9.731394043E2
4.494759577E1;9.731115723E2
4.510579977E1;9.731035156E2
4.526400577E1;9.730844727E2
4.542220977E1;9.730766602E2
4.558041377E1;9.730642090E2
4.573861677E1;9.730329590E2
4.589682077E1;9.730236816E2
4.605490277E1;9.730041504E2
4.621323077E1;9.729960938E2
4.637143477E1;9.729875488E2
4.652963877E1;9.729689941E2
4.668784177E1;9.729406738E2
4.684604577E1;9.729211426E2
4.700424977E1;9.729230957E2
4.716245277E1;9.729057617E2
4.732065977E1;9.728845215E2
4.747886277E1;9.728664551E2
4.763706677E1;9.728535156E2
4.779527077E1;9.728322754E2
4.795347477E1;9.728181152E2
4.811167777E1;9.727927246E2
4.826988477E1;9.727749023E2
4.842808777E1;9.727683105E2
4.858629177E1;9.727546387E2
4.874449577E1;9.727395020E2
4.890269977E1;9.727150879E2
4.906090277E1;9.727104492E2
4.921910977E1;9.726850586E2
4.937731277E1;9.726716309E2
4.953551677E1;9.726491699E2
4.969372077E1;9.726257324E2
4.985192377E1;9.726123047E2
5.001012777E1;9.725856934E2
5.016833177E1;9.725712891E2
5.032653777E1;9.725417480E2
5.048474177E1;9.725349121E2
5.064294577E1;9.725117188E2
5.080114877E1;9.725000000E2
5.095935277E1;9.724658203E2
5.111755677E1;9.724353027E2
5.127576277E1;9.724289551E2
5.143396677E1;9.723947754E2
5.159216977E1;9.723908691E2
5.175037377E1;9.723608398E2
5.190857777E1;9.723515625E2
5.206678177E1;9.723322754E2
5.222498777E1;9.723212891E2
5.238319177E1;9.722976074E2
5.254139477E1;9.722680664E2
5.269959877E1;9.722609863E2
5.285780277E1;9.722385254E2
5.301600577E1;9.722280273E2
5.317420977E1;9.722099609E2
5.333241577E1;9.721904297E2
5.349061977E1;9.721669922E2
5.364882377E1;9.721474609E2
5.380702777E1;9.721220703E2
5.396523077E1;9.720883789E2
5.412343477E1;9.720815430E2
5.428164077E1;9.720563965E2
5.443984477E1;9.720424805E2
5.459804877E1;9.720288086E2
5.475625277E1;9.720173340E2
5.491445577E1;9.720024414E2
5.507265977E1;9.719846191E2
5.523086577E1;9.719584961E2
5.538906977E1;9.719411621E2
5.554727377E1;9.719230957E2
5.570547677E1;9.719030762E2
5.586368077E1;9.718950195E2
5.602188477E1;9.718747559E2
5.618008877E1;9.718630371E2
5.633829477E1;9.718395996E2
5.649649877E1;9.718273926E2
5.665470177E1;9.718115234E2
5.681290577E1;9.717907715E2
5.697110977E1;9.717792969E2
5.712931277E1;9.717490234E2
5.728751977E1;9.717385254E2
5.744572277E1;9.717128906E2
5.760392677E1;9.717141113E2
5.776213077E1;9.716721191E2
5.792033477E1;9.716538086E2
5.807853777E1;9.716374512E2
5.823674477E1;9.716228027E2
5.839494777E1;9.716181641E2
5.855315177E1;9.716040039E2
5.871135577E1;9.715971680E2
5.886955877E1;9.715793457E2
5.902776277E1;9.715803223E2
5.918596677E1;9.715615234E2
5.934417277E1;9.715664062E2
5.950237677E1;9.715637207E2
5.966058077E1;9.715651855E2
5.981878377E1;9.715649414E2
5.997698777E1;9.715622559E2
6.013519177E1;9.715622559E2
6.029339777E1;9.715742188E2
6.045160177E1;9.715698242E2
6.060980577E1;9.715632324E2
6.076800877E1;9.715595703E2
6.092621277E1;9.715649414E2
6.108441677E1;9.715771484E2
6.124262277E1;9.715776367E2
6.140082677E1;9.715708008E2
6.155902977E1;9.715781250E2
6.171723377E1;9.715747070E2
6.187543777E1;9.715710449E2
6.203364177E1;9.715676270E2
6.219184477E1;9.715639648E2
6.235005177E1;9.715727539E2
6.250825477E1;9.715712891E2
6.266645877E1;9.715751953E2
6.282466277E1;9.715695801E2
6.298286577E1;9.715683594E2
6.314106977E1;9.715637207E2
